"Company
(Maker-if known)","Specific Bean Origin
or Bar Name",REF,"Review
Date","Cocoa
Percent","Company
Location",Rating,"Bean
Type","Broad Bean
Origin",Bean Latitude,Bean Longitude 
Theo,"Venezuela; Barinos, Merida, Tachron",188,2007,0.91,U.S.A.,2,Blend,Venezuela,6.983,-64.588
Tocoti,Venezuela,789,2011,0.72,U.S.A.,2.75,,Venezuela,6.983,-64.588
Urzi,"Sur del Lago, Merida",1327,2014,0.65,Italy,3.25,Trinitario,Venezuela,6.983,-64.588
Valrhona,"Otucan, Grand Cru",931,2012,0.69,France,4,,Venezuela,6.983,-64.588
Valrhona,"Porcelana, Pedegral",757,2011,0.64,France,4,Criollo,Venezuela,6.983,-64.588
Valrhona,Chuao 2002 P.,129,2007,0.65,France,3.75,Trinitario,Venezuela,6.983,-64.588
Valrhona,"Porcelana, Maracaibo, Palmira P. 2006",162,2007,0.64,France,3.25,Criollo (Porcelana),Venezuela,6.983,-64.588
Valrhona,"Porcelana, Maracaibo, Palmira P. 2005",75,2006,0.64,France,3,Criollo (Porcelana),Venezuela,6.983,-64.588
Violet Sky,Cuyagua,1458,2015,0.77,U.S.A.,3,Criollo,Venezuela,6.983,-64.588
Vivra,Ocumare,1720,2016,0.70,U.S.A.,2.5,,Venezuela,6.983,-64.588
Willie's Cacao,Hacienda Las Trincheras,593,2010,0.72,U.K.,3.5,,Venezuela,6.983,-64.588
Willie's Cacao,Rio Caribe,457,2009,0.72,U.K.,3.25,Trinitario,Venezuela,6.983,-64.588
Wm,"Guasare, Zulia Prov., 2015, batch 124",1912,2016,0.74,U.S.A.,3,Criollo,Venezuela,6.983,-64.588
Woodblock,Ocumare,741,2011,0.70,U.S.A.,4,,Venezuela,6.983,-64.588
Bonnat,Surfin,1418,2014,0.65,France,3.75,,"Venez,Africa,Brasil,Peru,Mex",,
Soma,"Abstract S. w/ Jamaica nibs,batch abs60323.0",1828,2016,0.75,Canada,3.75,,"Ven.,Ecu.,Peru,Nic.",,
Scharffen Berger,Finisterra,227,2008,0.72,U.S.A.,3,Blend,"Ven., Trinidad, Mad.",,
La Maison du Chocolat (Valrhona),"Cuana, 2008",230,2008,0.74,France,3.5,Blend,"Ven., Indonesia, Ecuad.",,
Guido Castagna,Blend,355,2009,0.64,Italy,3.25,,"Ven, Trinidad, Ecuador",,
Soma,"Three Amigos(Chuao, Wild Bolivia, D.R.)",676,2011,0.70,Canada,4,,"Ven, Bolivia, D.R.",,
Cravve,"Vanuatu, batch 2410",1335,2014,0.83,Australia,2.75,Trinitario,Vanuatu,-15.339,166.89
Cravve,Vanuatu,975,2012,0.64,Australia,3.25,Trinitario,Vanuatu,-15.339,166.89
Kakao,Vanuatu,387,2009,0.65,Germany,3.75,Trinitario,Vanuatu,-15.339,166.89
Matale,"Malekula P., 2013",1177,2013,0.72,Australia,3.5,Trinitario,Vanuatu,-15.339,166.89
Pralus,Vanuatu,40,2006,0.75,France,3,Trinitario,Vanuatu,-15.339,166.89
Soma,"Espiritu Santo, 'Smoke Monster'",1307,2014,0.70,Canada,3.75,Forastero (Amelonado),Vanuatu,-15.339,166.89
Spencer,Malekula Island,1434,2014,0.72,Australia,2.75,Trinitario,Vanuatu,-15.339,166.89
Chaleur B,Uganda,1426,2014,0.70,Canada,2.75,Forastero,Uganda,1.9392,32.7415
Chocolate Con Amor,Uganda,1760,2016,0.70,U.S.A.,2.75,,Uganda,1.9392,32.7415
De Villiers,Bundibugyo District,1832,2016,0.70,South Africa,2.5,Forastero,Uganda,1.9392,32.7415
hello cocoa,Uganda,1458,2015,0.57,U.S.A.,2.75,Forastero,Uganda,1.9392,32.7415
Hotel Chocolat (Coppeneur),Uganda,296,2008,0.80,U.K.,2.5,Forastero,Uganda,1.9392,32.7415
Kyya,Uganda,1359,2014,0.73,U.S.A.,2.5,Forastero,Uganda,1.9392,32.7415
Solstice,Bundibugyo,1335,2014,0.70,U.S.A.,3,"Forastero, Trinitario",Uganda,1.9392,32.7415
Terroir,Uganda,1323,2014,0.73,U.S.A.,3.75,Forastero,Uganda,1.9392,32.7415
Guido Castagna,Trinidad & Tobago,355,2009,0.64,Italy,3,,"Trinidad, Tobago",10.448,-61.257
Naive,Trinidad & Tobago,1046,2013,0.70,Lithuania,3.75,,"Trinidad, Tobago",10.448,-61.257
Palette de Bine,Duo- Gran Couva & Camino Verde,1399,2014,0.75,Canada,3.5,Blend,"Trinidad, Ecuador",,
Laia aka Chat-Noir,Trinidad-Tobago,1438,2014,0.68,France,2.75,,Trinidad-Tobago,10.448,-61.257
Alain Ducasse,Trinite,1215,2014,0.65,France,2.75,Trinitario,Trinidad,10.448,-61.257
Amedei,Trinidad,129,2007,0.70,Italy,3.5,Trinitario,Trinidad,10.448,-61.257
Arete,San Juan,1724,2016,0.70,U.S.A.,3.5,Trinitario,Trinidad,10.448,-61.257
Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",1193,2013,0.72,U.K.,3.25,Trinitario,Trinidad,10.448,-61.257
Bright,Gran Couva,1235,2014,0.68,Australia,2.75,Trinitario,Trinidad,10.448,-61.257
Burnt Fork Bend,Trinidad,1299,2014,0.72,U.S.A.,3.25,Trinitario,Trinidad,10.448,-61.257
C-Amaro,Trinidad,765,2011,0.70,Italy,2.5,Trinitario,Trinidad,10.448,-61.257
Coppeneur,Trinidad,558,2010,0.72,Germany,3,Trinitario,Trinidad,10.448,-61.257
Damson,Robson Estate,1610,2015,0.70,U.K.,3,Trinitario,Trinidad,10.448,-61.257
Ethel's Artisan (Mars),Trinidad,666,2011,0.55,U.S.A.,2.5,Trinitario,Trinidad,10.448,-61.257
Fruition,Gran Couva,1347,2014,0.70,U.S.A.,3.75,Trinitario,Trinidad,10.448,-61.257
Guittard,Trinidad,552,2010,0.65,U.S.A.,3,Trinitario,Trinidad,10.448,-61.257
Holy Cacao,Gran Couva,1466,2015,0.70,Israel,3.5,Trinitario,Trinidad,10.448,-61.257
Hotel Chocolat (Coppeneur),Trinidad,1038,2013,0.75,U.K.,3,Trinitario,Trinidad,10.448,-61.257
Letterpress,"San Juan Estate, Gran Couva",1562,2015,0.70,U.S.A.,3.5,Trinitario,Trinidad,10.448,-61.257
Map Chocolate,"San Juan Estate, Cherry Blossoms at Night",1606,2015,0.70,U.S.A.,2.75,Trinitario,Trinidad,10.448,-61.257
Middlebury,San Juan Estate,1490,2015,0.70,U.S.A.,3.5,Trinitario,Trinidad,10.448,-61.257
Neuhaus (Callebaut),Manickchand Estate,230,2008,0.67,Belgium,3.75,Trinitario,Trinidad,10.448,-61.257
Ohiyo,"San Juan Estate, Gran Couva",1594,2015,0.70,U.S.A.,2.75,Trinitario,Trinidad,10.448,-61.257
Palette de Bine,"San Juan Estate, Gran Couva",1570,2015,0.70,Canada,3.25,Trinitario,Trinidad,10.448,-61.257
Palette de Bine,Gran Couva,1399,2014,0.70,Canada,3.75,Trinitario,Trinidad,10.448,-61.257
Pierre Marcolini,Trinite,478,2010,0.75,Belgium,3.25,Trinitario,Trinidad,10.448,-61.257
Pralus,Trinidad,5,2006,0.75,France,3.5,Trinitario,Trinidad,10.448,-61.257
Ritual,Gran Couva,979,2012,0.75,U.S.A.,3.5,Trinitario,Trinidad,10.448,-61.257
Rogue,Trinidad,213,2008,0.70,U.S.A.,3,Trinitario,Trinidad,10.448,-61.257
"Smooth Chocolator, The",San Juan Estate,1622,2015,0.70,Australia,3.75,Trinitario,Trinidad,10.448,-61.257
Soma,"Sangre Grande P., Trinidad",1073,2013,0.70,Canada,3.75,Trinitario,Trinidad,10.448,-61.257
Tablette (aka Vanillabeans),Trinidad,1680,2015,0.77,Japan,2.75,Trinitario,Trinidad,10.448,-61.257
Valrhona,Gran Couva 2005 P.,75,2006,0.64,France,2.5,Trinitario,Trinidad,10.448,-61.257
Videri,Trinidad,1211,2014,0.75,U.S.A.,3.5,Trinitario,Trinidad,10.448,-61.257
Woodblock,Gran Couva,1042,2013,0.70,U.S.A.,3.5,Trinitario,Trinidad,10.448,-61.257
Zart Pralinen,San Juan Estate,1824,2016,0.85,Austria,2.75,Trinitario,Trinidad,10.448,-61.257
Zart Pralinen,"San Juan Estate, Gran Couva",1880,2016,0.78,Austria,3.5,Trinitario,Trinidad,10.448,-61.257
A. Morin,Kpime,1676,2015,0.70,France,2.75,,Togo,7.7,1.106
A. Morin,Atsane,1676,2015,0.70,France,3,,Togo,7.7,1.106
A. Morin,Akata,1680,2015,0.70,France,3.5,,Togo,7.7,1.106
La Maison du Chocolat (Valrhona),Tobago,1145,2013,0.60,France,3.25,,Tobago,10.448,-61.257
Tobago Estate (Pralus),"Roxborough, Tobago",895,2012,0.70,France,4,Trinitario,Tobago,10.448,-61.257
Alexandre,"Makwale Village, Kyela",1944,2017,0.70,Netherlands,3.5,Forastero,Tanzania,-5.651,34.146
Arete,Kokoa Kamili,1724,2016,0.70,U.S.A.,3.75,,Tanzania,-5.651,34.146
Askinosie,Mababa,1780,2016,0.68,U.S.A.,3.75,Trinitario,Tanzania,-5.651,34.146
Askinosie,"Tenende, Uwate",647,2011,0.72,U.S.A.,3.75,Trinitario,Tanzania,-5.651,34.146
Bellflower,"Kakao Kamili, Kilombero Valley",1800,2016,0.70,U.S.A.,3.5,"Criollo, Trinitario",Tanzania,-5.651,34.146
Blue Bandana,Kokoa Kamili,1752,2016,0.75,U.S.A.,3.5,,Tanzania,-5.651,34.146
Cacao Barry,Tanzania,300,2008,0.75,France,2,,Tanzania,-5.651,34.146
Cao,Tanzania,1804,2016,0.73,U.S.A.,2.75,,Tanzania,-5.651,34.146
Cravve,"Tanzania, batch a1",971,2012,0.75,Australia,3.25,Forastero,Tanzania,-5.651,34.146
Dandelion,Tanzania,654,2011,0.70,U.S.A.,3.25,,Tanzania,-5.651,34.146
Dark Forest,Tanzania,1554,2015,0.70,U.S.A.,3,,Tanzania,-5.651,34.146
Desbarres,"Kilombero, batch 41",1916,2016,0.72,Canada,2.5,,Tanzania,-5.651,34.146
Domori,Morogoro,863,2012,0.70,Italy,3.5,,Tanzania,-5.651,34.146
Fossa,"Kokoa Kamili Coop, Kilombero",1776,2016,0.67,Singapore,3.75,Trinitario,Tanzania,-5.651,34.146
hexx,Tanzania,1546,2015,0.70,U.S.A.,2.75,,Tanzania,-5.651,34.146
Hotel Chocolat (Coppeneur),Tanzania,296,2008,0.75,U.K.,2.75,,Tanzania,-5.651,34.146
Lake Champlain (Callebaut),Tanzania,327,2009,0.75,U.S.A.,2.5,,Tanzania,-5.651,34.146
Letterpress,Kokoa Kamili,1566,2015,0.70,U.S.A.,3.5,,Tanzania,-5.651,34.146
Maglio,Africa,300,2008,0.75,Italy,2,,Tanzania,-5.651,34.146
Map Chocolate,"Kakoa Kamili, Both Man & Bird & Beast",1610,2015,0.72,U.S.A.,3,,Tanzania,-5.651,34.146
Mast Brothers,Tanzania,1450,2015,0.74,U.S.A.,3.25,,Tanzania,-5.651,34.146
Middlebury,Kokoa Kamili,1538,2015,0.75,U.S.A.,3.25,,Tanzania,-5.651,34.146
Mutari,"Kokoa Kamili, batch 1 SRB",1896,2016,0.68,U.S.A.,2.75,,Tanzania,-5.651,34.146
Ohiyo,Tanzania,1598,2015,0.70,U.S.A.,3,,Tanzania,-5.651,34.146
Omnom,"Kakao Kamili, Kilombero Valley",1816,2016,0.70,Iceland,3.75,Trinitario,Tanzania,-5.651,34.146
Palette de Bine,Kokoa Kamili,1574,2015,0.72,Canada,3.5,,Tanzania,-5.651,34.146
Parliament,Kilombero Valley,1856,2016,0.70,U.S.A.,3.25,,Tanzania,-5.651,34.146
Pralus,Tanzania,105,2006,0.75,France,3.5,Criollo,Tanzania,-5.651,34.146
Sirene,Kokoa Kamili Coop,1856,2016,0.73,Canada,3.5,,Tanzania,-5.651,34.146
"Smooth Chocolator, The",Kokoa Kamili,1622,2015,0.67,Australia,3.75,,Tanzania,-5.651,34.146
Soul,Tanzania,1940,2017,0.80,Canada,3.5,,Tanzania,-5.651,34.146
Upchurch,"Tanzania, Party Bar",1752,2016,0.72,U.S.A.,3.25,,Tanzania,-5.651,34.146
Zart Pralinen,"Kakao Kamili, Kilombero Valley",1824,2016,0.85,Austria,3,"Criollo, Trinitario",Tanzania,-5.651,34.146
Zart Pralinen,"Kakao Kamili, Kilombero Valley",1824,2016,0.70,Austria,3.5,"Criollo, Trinitario",Tanzania,-5.651,34.146
Tan Ban Skrati,"Paramaribo, batch 20160043-01",1868,2016,0.70,Suriname,3.25,Trinitario,Suriname,4.248,-55.848
Emerald Estate,Emerald Estate,1137,2013,0.60,St. Lucia,2.75,,St. Lucia,13.865,-60.98
Emerald Estate,Emerald Estate,1137,2013,0.70,St. Lucia,3.25,,St. Lucia,13.865,-60.98
Hotel Chocolat,"Pepiniere, single Cote",1654,2015,0.70,U.K.,2.75,,St. Lucia,13.865,-60.98
Hotel Chocolat,"Marcial, single Cote, 2012",1030,2013,0.70,U.K.,4,Trinitario,St. Lucia,13.865,-60.98
Hotel Chocolat,"Island Growers, 2012, 120hr c.",1113,2013,1.00,U.K.,1.75,Trinitario,St. Lucia,13.865,-60.98
Hotel Chocolat (Coppeneur),"Island Growers, 120hr c.",623,2011,0.65,U.K.,3,Trinitario,St. Lucia,13.865,-60.98
Hotel Chocolat (Coppeneur),"Island Growers, 96hr c.",623,2011,0.65,U.K.,3.25,Trinitario,St. Lucia,13.865,-60.98
Hotel Chocolat (Coppeneur),St. Lucia,245,2008,0.72,U.K.,3,,St. Lucia,13.865,-60.98
Bonnat,Ceylan,81,2006,0.75,France,3,,Sri Lanka,7.3,80.727
Svenska Kakaobolaget,Sri Lanka,1618,2015,0.70,Sweden,2.75,"Criollo, Trinitario",Sri Lanka,7.3,80.727
Haigh,South America and Africa,701,2011,0.70,Australia,3,,"South America, Africa",,
Metropolitan,South America,1688,2015,0.70,Amsterdam,3.5,Trinitario,South America,,
Park 75,South America,1363,2014,0.65,U.S.A.,3.5,,South America,,
Valrhona,Guanaja,63,2006,0.70,France,4,"Criollo, Trinitario",South America,,
Madre,Guadalcanal,1940,2017,0.73,U.S.A.,3.5,,Solomon Islands,-9.611,160.19
Solomons Gold,Solomon Island,1792,2016,0.70,New Zealand,3.25,,Solomon Islands,-9.611,160.19
Solomons Gold,Solomon Island w/ nibs,1796,2016,0.75,New Zealand,3.25,,Solomon Islands,-9.611,160.19
Zokoko,Guadalcanal,1716,2016,0.78,Australia,3.75,,Solomon Islands,-9.611,160.19
Claudio Corallo,Terreiro Velho P.,470,2010,0.74,Sao Tome,3.75,Forastero,Sao Tome & Principe,0.233,6.589
Claudio Corallo,Terreiro Velho P. w/ sugar crystals,209,2008,0.80,Sao Tome,3,Forastero,Sao Tome & Principe,0.233,6.589
Claudio Corallo,Terreiro Velho P.,227,2008,0.75,Sao Tome,4,Forastero,Sao Tome & Principe,0.233,6.589
Claudio Corallo,Principe,252,2008,1.00,Sao Tome,1,Forastero,Sao Tome & Principe,0.233,6.589
Coppeneur,Uba Budo,821,2012,0.72,Germany,3.75,Forastero,Sao Tome & Principe,0.233,6.589
Enric Rovira (Claudio Corallo),Terreiro Velho P.,565,2010,0.80,Spain,3.25,Forastero,Sao Tome & Principe,0.233,6.589
Pralus,Sao Tome & Principe,5,2006,0.75,France,3.5,Forastero,Sao Tome & Principe,0.233,6.589
A. Morin,Agua Grande,1876,2016,0.63,France,3.75,,Sao Tome,0.233,6.589
C-Amaro,Sao Tome,749,2011,0.78,Italy,2.25,Forastero,Sao Tome,0.233,6.589
Hotel Chocolat (Coppeneur),Uba Budo,300,2008,0.72,U.K.,3,Forastero,Sao Tome,0.233,6.589
Laia aka Chat-Noir,"Sao Tome, Batch 151",1638,2015,0.75,France,3.5,Forastero,Sao Tome,0.233,6.589
Michel Cluizel,Vila Gracinda,135,2007,0.67,France,3.5,Forastero,Sao Tome,0.233,6.589
Michel Cluizel,Tamarina,24,2006,0.70,France,3,Forastero,Sao Tome,0.233,6.589
Neuhaus (Callebaut),Sao Tome,15,2006,0.75,Belgium,2.75,Forastero,Sao Tome,0.233,6.589
Pralus,Claudio Corallo w/ nibs,162,2007,0.75,France,4,Forastero,Sao Tome,0.233,6.589
Santome,Sao Tome,761,2011,0.70,France,2.75,Forastero,Sao Tome,0.233,6.589
Silvio Bessone,"Trintade, Sao Tome",725,2011,0.65,Italy,3.25,Forastero,Sao Tome,0.233,6.589
Ocho,Sang Yum Coop,1760,2016,1.00,New Zealand,2.75,,Samoa,-13.625,-172.42
Ocho,Sang Yum Coop,1760,2016,0.70,New Zealand,3.5,,Samoa,-13.625,-172.42
Cacao Arabuco,Puerto Rico,1606,2015,0.70,Puerto Rico,2.5,,Puerto Rico,18.242,-66.643
Finca,Puerto Rico,1283,2014,0.65,U.S.A.,2.25,,Puerto Rico,18.242,-66.643
Loiza,Puerto Rico,1049,2013,0.65,Puerto Rico,2.5,,Puerto Rico,18.242,-66.643
Madre,Puerto Rico,1085,2013,0.70,U.S.A.,2.75,,Puerto Rico,18.242,-66.643
Rozsavolgyi,Principe,765,2011,0.77,Hungary,2.75,Forastero,Principe,,
Matale,Blend,1181,2013,0.70,Australia,3.75,Trinitario,"PNG, Vanuatu, Mad",,
Askinosie,Davao,331,2009,0.77,U.S.A.,3.75,Trinitario,Philippines,17.181,121.256
Malagos,"Davao, Mt. Talamo foothills",1121,2013,0.65,Philippines,3.5,Trinitario,Philippines,17.181,121.256
StRita Supreme,"Samar, East Visayas region",939,2012,0.65,U.S.A.,2.5,,Philippines,17.181,121.256
StRita Supreme,"Samar, East Visayas region",943,2012,0.70,U.S.A.,2.5,,Philippines,17.181,121.256
StRita Supreme,"Samar, East Visayas region",943,2012,0.75,U.S.A.,2.75,,Philippines,17.181,121.256
Raaka,Amazon Basin Blend,1788,2016,0.70,U.S.A.,3,,"Peru(SMartin,Pangoa,nacional)",,
Ethel's Artisan (Mars),"Peru, Madagascar",666,2011,0.55,U.S.A.,2.5,,"Peru, Madagascar",,
Mast Brothers,Shake Shack,959,2012,0.73,U.S.A.,3.5,Blend,"Peru, Mad., Dom. Rep.",,
L'Amourette,Blend,853,2012,0.72,U.S.A.,3,Criollo,"Peru, Ecuador, Venezuela",,
TCHO,Peru- Ecuador,915,2012,0.99,U.S.A.,3.25,,"Peru, Ecuador",,
Soma,Equator,1081,2013,0.67,Canada,4,,"Peru, Dom. Rep",,
Mast Brothers,French Laundry 20th Anniversary,1359,2014,0.75,U.S.A.,3.75,Blend,"Peru, Belize",,
A. Morin,Quilla,1704,2015,0.70,France,3.5,,Peru,-12.664,-72.98
A. Morin,Pablino,1319,2014,0.70,France,4,,Peru,-12.664,-72.98
A. Morin,Piura,1019,2013,0.70,France,3.25,,Peru,-12.664,-72.98
A. Morin,Chanchamayo Province,1019,2013,0.70,France,3.5,,Peru,-12.664,-72.98
A. Morin,Chanchamayo Province,1019,2013,0.63,France,4,,Peru,-12.664,-72.98
A. Morin,Peru,797,2012,0.63,France,3.75,,Peru,-12.664,-72.98
Acalli,"Chulucanas, El Platanal",1462,2015,0.70,U.S.A.,3.75,,Peru,-12.664,-72.98
Acalli,"Tumbes, Norandino",1470,2015,0.70,U.S.A.,3.75,Criollo,Peru,-12.664,-72.98
Alain Ducasse,"Piura, Perou",1173,2013,0.75,France,2.5,,Peru,-12.664,-72.98
Altus aka Cao Artisan,Acopagro,1728,2016,0.60,U.S.A.,3,,Peru,-12.664,-72.98
Altus aka Cao Artisan,Villa Andina,1732,2016,0.60,U.S.A.,2.5,,Peru,-12.664,-72.98
Altus aka Cao Artisan,Peru,1133,2013,0.60,U.S.A.,3.25,,Peru,-12.664,-72.98
Amazona,"LamasdelChanka, San Martin, Oro Verde coop",1145,2013,0.72,Peru,3.25,,Peru,-12.664,-72.98
Amazona,"Bellavista Gran Pajeten, San Martin",1145,2013,0.73,Peru,3.5,Trinitario,Peru,-12.664,-72.98
Ambrosia,Peru,1498,2015,0.68,Canada,3.5,,Peru,-12.664,-72.98
Amedei,"Piura, Blanco de Criollo",979,2012,0.70,Italy,3.75,,Peru,-12.664,-72.98
Arete,Phantom,1924,2016,0.70,U.S.A.,4,Forastero (Nacional),Peru,-12.664,-72.98
Arete,Nacional,1534,2015,0.68,U.S.A.,3.5,Forastero (Nacional),Peru,-12.664,-72.98
Artisan du Chocolat,Peru,363,2009,0.75,U.K.,3,Criollo,Peru,-12.664,-72.98
Bakau,"Bambamarca, 2015",1454,2015,0.70,Peru,2.75,,Peru,-12.664,-72.98
Bakau,"Huallabamba, 2015",1454,2015,0.70,Peru,3.5,,Peru,-12.664,-72.98
Bar Au Chocolat,Maranon Canyon,1295,2014,0.70,U.S.A.,4,Forastero (Nacional),Peru,-12.664,-72.98
Belcolade,Peru,586,2010,0.64,Belgium,2.75,,Peru,-12.664,-72.98
Bonnat,"Cusco, Cacao Cusco",629,2011,0.75,France,3.5,,Peru,-12.664,-72.98
Bonnat,Piura Blanco,629,2011,0.75,France,3.5,Forastero (Nacional),Peru,-12.664,-72.98
Bonnat,"Porcelana, Apotequil",336,2009,0.75,France,2.75,Criollo,Peru,-12.664,-72.98
Cacao Atlanta,Tumbes,1215,2014,0.75,U.S.A.,2.5,Criollo,Peru,-12.664,-72.98
Cacao Store,Peru,1684,2015,0.70,Japan,3.25,,Peru,-12.664,-72.98
Cacaosuyo (Theobroma Inversiones),Piura,1173,2013,0.70,Peru,3.25,,Peru,-12.664,-72.98
Castronovo,San Martin,1105,2013,0.70,U.S.A.,2.5,Criollo,Peru,-12.664,-72.98
Castronovo,Tumbes,1153,2013,0.70,U.S.A.,2.75,Criollo,Peru,-12.664,-72.98
Cello,Peru,1247,2014,0.70,U.S.A.,2.75,,Peru,-12.664,-72.98
Chocolarder,Peru,1482,2015,0.65,U.K.,2.5,Criollo,Peru,-12.664,-72.98
Chocolarder,Peru + nibs,1482,2015,0.65,U.K.,2.75,Criollo,Peru,-12.664,-72.98
Chocolate Alchemist-Philly,"Tumbes, ""Zarumilla""",1772,2016,0.90,U.S.A.,2.5,,Peru,-12.664,-72.98
Chocolate Conspiracy,Peru,1259,2014,0.74,U.S.A.,2.75,,Peru,-12.664,-72.98
Chocolate Makers,"Peru, Awagum bar",1530,2015,0.80,Amsterdam,3.75,Criollo,Peru,-12.664,-72.98
"Chocolate Tree, The",Maranon,1582,2015,0.69,Scotland,3.75,Forastero (Nacional),Peru,-12.664,-72.98
"Chocolate Tree, The",Peru,1121,2013,0.70,Scotland,3.75,Forastero (Nacional),Peru,-12.664,-72.98
"Chocolate Tree, The",Peru,919,2012,0.68,Scotland,2.75,Criollo,Peru,-12.664,-72.98
Christopher Morel (Felchlin),"Maranon Canyon, Fortunato No. 4",666,2011,0.68,Canada,3.75,Forastero (Nacional),Peru,-12.664,-72.98
Coppeneur,"Porcelana, Apotequil",341,2009,0.72,Germany,3,Criollo,Peru,-12.664,-72.98
Coppeneur,"Porcelana, Apotequil",445,2009,0.62,Germany,3.25,Criollo,Peru,-12.664,-72.98
Dean and Deluca (Belcolade),Peru,180,2007,0.64,U.S.A.,3,,Peru,-12.664,-72.98
Domori,Apurimac,87,2006,0.70,Italy,3.25,Trinitario,Peru,-12.664,-72.98
Duffy's,Star of Peru,523,2010,0.70,U.K.,3.75,,Peru,-12.664,-72.98
Durci,"Maranon, Joya Rara",1626,2015,0.70,U.S.A.,3.5,Forastero (Nacional),Peru,-12.664,-72.98
East Van Roasters,Peru,1343,2014,0.70,Canada,3.25,,Peru,-12.664,-72.98
Eclat (Felchlin),"Maranon, Good & Evil, w/ nibs",919,2012,0.72,U.S.A.,2.75,Forastero (Nacional),Peru,-12.664,-72.98
Emily's,Peru,1454,2015,0.78,Japan,3.5,Criollo,Peru,-12.664,-72.98
Forever Cacao,Rio Eni,1267,2014,0.72,U.K.,2.75,Criollo,Peru,-12.664,-72.98
Frederic Blondeel,Peru Brutus,1538,2015,0.75,Belgium,3.5,,Peru,-12.664,-72.98
French Broad,"Norandino, batch 161208",1940,2017,0.70,U.S.A.,3.5,,Peru,-12.664,-72.98
French Broad,"Palo Blanco, Chulucanas",1042,2013,0.66,U.S.A.,3.5,,Peru,-12.664,-72.98
French Broad,Tumbes Coop,883,2012,0.70,U.S.A.,2.5,Criollo,Peru,-12.664,-72.98
French Broad,"Palo Blanco, Chulucanas",883,2012,0.61,U.S.A.,3.5,,Peru,-12.664,-72.98
French Broad,"Palo Blanco w/ panela, Chulucanas",887,2012,0.81,U.S.A.,2,,Peru,-12.664,-72.98
French Broad,"Maranon Canyon, Fortunato No. 4",781,2011,0.70,U.S.A.,3.5,Forastero (Nacional),Peru,-12.664,-72.98
Fresco,"Maranon, #228, MR, SC",1383,2014,0.70,U.S.A.,3,Forastero (Nacional),Peru,-12.664,-72.98
Fresco,"Maranon, #227, LR, MC",1383,2014,0.70,U.S.A.,3.5,Forastero (Nacional),Peru,-12.664,-72.98
Fresco,"Maranon, #229, MR, LC",1383,2014,0.70,U.S.A.,3.5,Forastero (Nacional),Peru,-12.664,-72.98
Fresco,"Maranon, #230, DR, LC",1387,2014,0.70,U.S.A.,3.5,Forastero (Nacional),Peru,-12.664,-72.98
Fresco,"San Martin, Bellavista Coop, #226, DR, MC",1117,2013,0.70,U.S.A.,3.75,,Peru,-12.664,-72.98
Fresco,"Bellavista Coop, #225, LR, MC, CG Exclusive",1149,2013,0.70,U.S.A.,4,Trinitario,Peru,-12.664,-72.98
Fruition,Maranon,1359,2014,0.76,U.S.A.,3,Forastero (Nacional),Peru,-12.664,-72.98
Fruition,Peru,863,2012,0.70,U.S.A.,2.5,,Peru,-12.664,-72.98
Guittard,Machu Pichu,259,2008,0.65,U.S.A.,3,,Peru,-12.664,-72.98
Heilemann,Peru,1876,2016,0.64,Germany,2.75,,Peru,-12.664,-72.98
hexx,Peru,1550,2015,0.70,U.S.A.,3.25,,Peru,-12.664,-72.98
Hogarth,Gran Blanco,1712,2016,0.66,New Zealand,3.5,Criollo,Peru,-12.664,-72.98
Holy Cacao,Maranon,1872,2016,0.70,Israel,2.75,,Peru,-12.664,-72.98
Holy Cacao,San Martin,431,2009,0.70,Israel,3.5,,Peru,-12.664,-72.98
Hotel Chocolat (Coppeneur),"Chanchamayo, Pichanadi, 2012, 60hr c.",1109,2013,1.00,U.K.,2.75,,Peru,-12.664,-72.98
iQ Chocolate,"Satipo region, white label",943,2012,0.72,Scotland,2.75,Criollo,Peru,-12.664,-72.98
iQ Chocolate,black label,943,2012,0.72,Scotland,3,,Peru,-12.664,-72.98
Isidro,Peru,1279,2014,0.72,U.S.A.,2.25,,Peru,-12.664,-72.98
Just Good Chocolate,Peru,1375,2014,0.70,U.S.A.,4,,Peru,-12.664,-72.98
Kakao,Peru,837,2012,0.64,Germany,2.5,,Peru,-12.664,-72.98
Kto,San Martin,1422,2014,0.72,U.S.A.,2.5,,Peru,-12.664,-72.98
K'ul,"Maranon, Fortunato No. 4",1852,2016,0.70,U.S.A.,2.75,Forastero (Nacional),Peru,-12.664,-72.98
L.A. Burdick (Felchlin),Peru,891,2012,0.74,U.S.A.,3.25,,Peru,-12.664,-72.98
La Chocolaterie Nanairo,"Lumas, 2015 Harvest, Batch 6, brown sugar",1892,2016,0.70,Japan,2.25,"Trinitario, Criollo",Peru,-12.664,-72.98
La Chocolaterie Nanairo,"Lumas, 2015 Harvest, Batch 7",1892,2016,0.70,Japan,2.5,"Trinitario, Criollo",Peru,-12.664,-72.98
La Chocolaterie Nanairo,"Tumbes, 2013 Harvest, Batch 8",1892,2016,0.70,Japan,3,Criollo,Peru,-12.664,-72.98
La Oroquidea,Peruvian Amazon,721,2011,0.72,Peru,2.5,,Peru,-12.664,-72.98
Laia aka Chat-Noir,"Peru, Batch 51/100",1590,2015,0.75,France,3.25,,Peru,-12.664,-72.98
